"business_id","Score","date","type"
208,"91","20140313","routine"
208,"92","20130605","routine"
208,"81","20120823","routine"
208,"92","20111031","routine"
216,"100","20140626","routine"
216,"100","20131017","routine"
216,"100","20130306","routine"
216,"100","20120605","routine"
216,"100","20120216","routine"
217,"94","20140624","routine"
217,"100","20131209","routine"
217,"100","20130207","routine"
217,"100","20120614","routine"
217,"100","20111222","routine"
221,"91","20140122","routine"
221,"91","20130724","routine"
221,"91","20130131","routine"
221,"90","20120815","routine"
221,"100","20120209","routine"
226,"86","20130326","routine"
226,"94","20120912","routine"
226,"88","20120130","routine"
230,"80","20140205","routine"
230,"64","20130124","routine"
230,"73","20120402","routine"
231,"92","20140902","routine"
231,"92","20140204","routine"
231,"85","20130508","routine"
231,"85","20121106","routine"
231,"81","20120522","routine"
231,"90","20111104","routine"
234,"79","20140415","routine"
234,"86","20130506","routine"
234,"82","20120326","routine"
236,"96","20130522","routine"
236,"94","20121012","routine"
236,"98","20120301","routine"
239,"90","20140507","routine"
239,"77","20130917","routine"
239,"83","20120830","routine"
239,"86","20120320","routine"
240,"79","20140724","routine"
240,"79","20140206","routine"
240,"81","20130523","routine"
240,"65","20121213","routine"
240,"61","20120126","routine"
240,"82","20120110","routine"
247,"94","20140304","routine"
247,"89","20121114","routine"
247,"96","20120328","routine"
251,"96","20140612","routine"
251,"92","20131113","routine"
251,"88","20130315","routine"
251,"92","20120222","routine"
251,"88","20111005","routine"
253,"100","20140505","routine"
253,"98","20131101","routine"
253,"98","20130501","routine"
253,"98","20121009","routine"
253,"98","20111031","routine"
256,"98","20140303","routine"
256,"98","20130319","routine"
256,"98","20111221","routine"
258,"96","20140407","routine"
258,"94","20131017","routine"
258,"94","20130405","routine"
258,"88","20120905","routine"
258,"94","20120130","routine"
260,"86","20140520","routine"
260,"92","20131119","routine"
260,"87","20130627","routine"
260,"90","20121211","routine"
260,"90","20120621","routine"
260,"96","20111220","routine"
264,"94","20140324","routine"
264,"81","20130819","routine"
264,"90","20121205","routine"
264,"88","20111110","routine"
267,"93","20140528","routine"
267,"77","20130731","routine"
267,"83","20120731","routine"
267,"69","20120112","routine"
268,"98","20140224","routine"
268,"96","20130805","routine"
268,"89","20121203","routine"
268,"94","20120504","routine"
268,"96","20111121","routine"
272,"86","20140422","routine"
272,"94","20131106","routine"
272,"87","20130514","routine"
272,"88","20121029","routine"
272,"87","20120405","routine"
272,"89","20111018","routine"
273,"71","20140813","routine"
273,"85","20131118","routine"
273,"84","20121213","routine"
273,"82","20120405","routine"
275,"96","20140328","routine"
275,"94","20130712","routine"
275,"87","20130424","routine"
275,"87","20120828","routine"
275,"90","20120131","routine"
275,"98","20111025","routine"
276,"98","20140806","routine"
276,"100","20131216","routine"
276,"100","20130524","routine"
276,"100","20120808","routine"
276,"98","20120126","routine"
279,"98","20140107","routine"
279,"96","20130716","routine"
279,"100","20121126","routine"
279,"94","20120322","routine"
279,"98","20110915","routine"
281,"93","20130930","routine"
281,"96","20121017","routine"
281,"92","20120418","routine"
281,"98","20110921","routine"
283,"98","20120924","routine"
283,"94","20120221","routine"
286,"90","20140327","routine"
286,"49","20130725","routine"
286,"60","20130211","routine"
286,"73","20111212","routine"
290,"96","20140409","routine"
290,"87","20130930","routine"
290,"85","20121009","routine"
290,"91","20120330","routine"
290,"94","20110921","routine"
298,"96","20140121","routine"
298,"94","20130516","routine"
298,"94","20120914","routine"
298,"87","20120119","routine"
299,"92","20140306","routine"
299,"86","20130724","routine"
299,"75","20121217","routine"
299,"83","20120619","routine"
299,"82","20120120","routine"
300,"96","20140507","routine"
300,"96","20130823","routine"
300,"90","20130214","routine"
300,"94","20120625","routine"
300,"94","20111221","routine"
302,"94","20140304","routine"
302,"94","20121210","routine"
302,"94","20120530","routine"
302,"94","20111110","routine"
305,"88","20140321","routine"
305,"96","20130916","routine"
305,"96","20121203","routine"
305,"96","20120427","routine"
305,"96","20111121","routine"
315,"88","20140310","routine"
315,"90","20130812","routine"
315,"92","20121207","routine"
315,"92","20120403","routine"
315,"90","20111007","routine"
318,"94","20140205","routine"
318,"94","20130729","routine"
318,"90","20121019","routine"
318,"92","20120410","routine"
318,"96","20111020","routine"
320,"85","20140611","routine"
320,"85","20131209","routine"
320,"86","20130715","routine"
320,"82","20120925","routine"
320,"88","20120326","routine"
320,"94","20110929","routine"
323,"100","20140114","routine"
323,"98","20130709","routine"
323,"98","20121001","routine"
323,"98","20120319","routine"
325,"92","20140306","routine"
325,"92","20131001","routine"
325,"88","20130710","routine"
325,"83","20121017","routine"
325,"83","20120405","routine"
325,"84","20110907","routine"
326,"88","20140522","routine"
326,"79","20131203","routine"
326,"92","20130103","routine"
326,"81","20120514","routine"
326,"81","20111012","routine"
328,"94","20140305","routine"
328,"92","20131010","routine"
328,"90","20130422","routine"
328,"96","20120927","routine"
328,"96","20120327","routine"
328,"92","20111003","routine"
332,"100","20140725","routine"
332,"100","20140210","routine"
332,"100","20130809","routine"
332,"100","20130222","routine"
332,"100","20120810","routine"
332,"100","20120430","routine"
335,"79","20140306","routine"
335,"66","20130617","routine"
335,"80","20121009","routine"
335,"82","20120507","routine"
335,"96","20111013","routine"
337,"94","20140402","routine"
337,"78","20130624","routine"
337,"86","20121116","routine"
337,"91","20120305","routine"
337,"88","20111006","routine"
379,"89","20140317","routine"
379,"80","20131118","routine"
379,"91","20130329","routine"
379,"98","20120731","routine"
379,"85","20120222","routine"
380,"100","20140606","routine"
380,"100","20131125","routine"
380,"100","20121221","routine"
380,"100","20120613","routine"
380,"96","20111220","routine"
383,"88","20140822","routine"
383,"92","20130919","routine"
383,"94","20130110","routine"
383,"94","20120606","routine"
383,"92","20111205","routine"
384,"88","20140506","routine"
384,"94","20130722","routine"
384,"94","20121210","routine"
384,"91","20120514","routine"
384,"96","20111117","routine"
385,"90","20140306","routine"
385,"100","20130415","routine"
385,"94","20120917","routine"
385,"80","20120426","routine"
385,"71","20111107","routine"
386,"90","20140424","routine"
386,"83","20130827","routine"
386,"94","20121211","routine"
386,"92","20120110","routine"
389,"100","20131011","routine"
389,"100","20130228","routine"
389,"100","20120427","routine"
389,"100","20110927","routine"
393,"94","20140625","routine"
393,"94","20131223","routine"
393,"96","20130429","routine"
393,"98","20120912","routine"
393,"98","20120221","routine"
394,"100","20140625","routine"
394,"100","20140124","routine"
394,"100","20130509","routine"
394,"100","20120921","routine"
394,"100","20111221","routine"
395,"100","20140625","routine"
395,"98","20140123","routine"
395,"100","20130509","routine"
395,"100","20120921","routine"
395,"100","20111221","routine"
397,"96","20140624","routine"
397,"100","20140124","routine"
397,"100","20130509","routine"
397,"100","20120921","routine"
397,"87","20111221","routine"
398,"100","20140227","routine"
398,"100","20130614","routine"
398,"100","20120907","routine"
398,"100","20120119","routine"
400,"94","20140613","routine"
400,"100","20130801","routine"
400,"98","20120524","routine"
400,"100","20111109","routine"
401,"100","20140619","routine"
401,"100","20131003","routine"
401,"100","20130228","routine"
401,"100","20120427","routine"
401,"100","20110929","routine"
403,"85","20140530","routine"
403,"94","20131127","routine"
403,"91","20130528","routine"
403,"92","20121120","routine"
403,"92","20120611","routine"
403,"96","20111222","routine"
409,"100","20130614","routine"
409,"100","20120514","routine"
413,"87","20140627","routine"
413,"84","20130917","routine"
413,"76","20120904","routine"
415,"87","20140729","routine"
415,"83","20140124","routine"
415,"82","20130514","routine"
415,"87","20130110","routine"
415,"98","20120322","routine"
420,"86","20140520","routine"
420,"88","20121105","routine"
420,"88","20111129","routine"
421,"94","20130510","routine"
421,"98","20121012","routine"
421,"100","20120207","routine"
422,"86","20140626","routine"
422,"75","20131119","routine"
422,"83","20130128","routine"
422,"92","20120207","routine"
423,"88","20140716","routine"
423,"77","20131001","routine"
423,"96","20130628","routine"
423,"98","20120201","routine"
424,"94","20140410","routine"
424,"94","20130821","routine"
424,"100","20121119","routine"
424,"96","20120417","routine"
424,"90","20111006","routine"
425,"92","20140328","routine"
425,"85","20130628","routine"
425,"87","20121026","routine"
425,"96","20120322","routine"
428,"100","20140826","routine"
428,"100","20140306","routine"
428,"100","20130314","routine"
428,"100","20120928","routine"
428,"100","20120327","routine"
428,"100","20110908","routine"
429,"92","20140521","routine"
429,"96","20121115","routine"
429,"98","20120326","routine"
430,"91","20140522","routine"
430,"98","20121114","routine"
430,"89","20120309","routine"
431,"98","20131029","routine"
431,"90","20121114","routine"
431,"92","20120307","routine"
435,"96","20140827","routine"
435,"94","20140108","routine"
435,"94","20130415","routine"
435,"90","20120719","routine"
435,"98","20111213","routine"
436,"87","20130925","routine"
436,"80","20120830","routine"
436,"89","20111116","routine"
438,"88","20140402","routine"
438,"88","20130710","routine"
438,"85","20120320","routine"
442,"92","20140313","routine"
442,"78","20130508","routine"
442,"86","20120927","routine"
442,"94","20120320","routine"
443,"90","20140210","routine"
443,"75","20130510","routine"
443,"85","20120717","routine"
443,"77","20120210","routine"
443,"79","20111107","routine"
444,"88","20140617","routine"
444,"92","20131217","routine"
444,"85","20130905","routine"
444,"90","20130108","routine"
444,"83","20120524","routine"
444,"88","20111026","routine"
447,"85","20140604","routine"
447,"94","20131023","routine"
447,"72","20130103","routine"
447,"86","20120328","routine"
448,"85","20140818","routine"
448,"84","20140108","routine"
448,"88","20130313","routine"
448,"88","20120822","routine"
448,"65","20120315","routine"
462,"100","20130529","routine"
462,"100","20121024","routine"
462,"100","20120322","routine"
463,"88","20140627","routine"
463,"92","20131218","routine"
463,"94","20130329","routine"
463,"74","20120724","routine"
463,"90","20111212","routine"
467,"84","20140514","routine"
467,"80","20130603","routine"
467,"88","20121002","routine"
467,"86","20111130","routine"
468,"84","20140506","routine"
468,"85","20121114","routine"
468,"89","20111129","routine"
469,"71","20140507","routine"
469,"64","20121218","routine"
469,"89","20111209","routine"
470,"94","20140204","routine"
