"name","species","gender","weight","(in lbs)"
"Redbone Coonhound","dog",,60,
"Redbone Coonhound","dog","male",65,
"Redbone Coonhound","dog","female",55,
"Rhodesian Ridgeback","dog",,77.5,
"Rhodesian Ridgeback","dog","male",85,
"Rhodesian Ridgeback","dog","female",70,
"Rottweiler","dog",,100,
"Rottweiler","dog","male",110,
"Rottweiler","dog","female",90,
"Russian Wolfhound","dog",,81.25,
"Russian Wolfhound","dog","male",87.5,
"Russian Wolfhound","dog","female",75,
"Saint Berdoodle","dog",,155,
"Saint Berdoodle","dog","male",175,
"Saint Berdoodle","dog","female",135,
"Saint Bernard","dog",,160,
"Saint Bernard","dog","male",160,
"Saint Bernard","dog","female",160,
"Saluki","dog",,50,
"Saluki","dog","male",50,
"Saluki","dog","female",50,
"Samoyed","dog",,48.75,
"Samoyed","dog","male",55,
"Samoyed","dog","female",42.5,
"Schapendoes","dog",,33,
"Schapendoes","dog","male",33,
"Schapendoes","dog","female",33,
"Schipperke","dog",,14,
"Schipperke","dog","male",14,
"Schipperke","dog","female",14,
"Schnauzer, Giant","dog",,77.5,
"Schnauzer, Giant","dog","male",77.5,
"Schnauzer, Giant","dog","female",77.5,
"Schnauzer, Miniature","dog",,14,
"Schnauzer, Miniature","dog","male",14,
"Schnauzer, Miniature","dog","female",14,
"Schnauzer, Standard","dog",,40,
"Schnauzer, Standard","dog","male",42.5,
"Schnauzer, Standard","dog","female",37.5,
"Schnoodle","dog",,15,
"Schnoodle","dog","male",15,
"Schnoodle","dog","female",15,
"Scottish Deerhound","dog",,91.25,
"Scottish Deerhound","dog","male",97.5,
"Scottish Deerhound","dog","female",85,
"Scottish Terrier","dog",,20,
"Scottish Terrier","dog","male",20.5,
"Scottish Terrier","dog","female",19.5,
"Sealyham Terrier","dog",,24.25,
"Sealyham Terrier","dog","male",28.5,
"Sealyham Terrier","dog","female",20,
"Shepadoodle","dog",,65,
"Shepadoodle","dog","male",65,
"Shepadoodle","dog","female",65,
"Shetland Sheepdog","dog",,20,
"Shetland Sheepdog","dog","male",20,
"Shetland Sheepdog","dog","female",20,
"Shiba Inu","dog",,25,
"Shiba Inu","dog","male",25,
"Shiba Inu","dog","female",25,
"Shih Tzu","dog",,12.5,
"Shih Tzu","dog","male",12.5,
"Shih Tzu","dog","female",12.5,
"Shihpoo","dog",,12.5,
"Shihpoo","dog","male",12.5,
"Shihpoo","dog","female",12.5,
"Shiloh Shepherd","dog",,130,
"Shiloh Shepherd","dog","male",150,
"Shiloh Shepherd","dog","female",110,
"Siberian Husky","dog",,47.5,
"Siberian Husky","dog","male",52.5,
"Siberian Husky","dog","female",42.5,
"Silky Terrier","dog",,9.5,
"Silky Terrier","dog","male",9.5,
"Silky Terrier","dog","female",9.5,
"Skye Terrier","dog",,19,
"Skye Terrier","dog","male",19,
"Skye Terrier","dog","female",19,
"Sloughi","dog",,52.5,
"Sloughi","dog","male",52.5,
"Sloughi","dog","female",52.5,
"Soft Coated Wheaton Terrier","dog",,37.5,
"Soft Coated Wheaton Terrier","dog","male",40,
"Soft Coated Wheaton Terrier","dog","female",35,
"South African Boerboel","dog",,177,
"South African Boerboel","dog","male",177,
"South African Boerboel","dog","female",177,
"South Russian Ovcharka","dog",,109,
"South Russian Ovcharka","dog","male",109,
"South Russian Ovcharka","dog","female",109,
"Spinone Italiano","dog",,72,
"Spinone Italiano","dog","male",72,
"Spinone Italiano","dog","female",72,
"Stabyhoun","dog",,50,
"Stabyhoun","dog","male",55,
"Stabyhoun","dog","female",45,
"Staffordshire Bull Terrier","dog",,30.25,
"Staffordshire Bull Terrier","dog","male",31.5,
"Staffordshire Bull Terrier","dog","female",29,
"Sussex Spaniel","dog",,42,
"Sussex Spaniel","dog","male",42,
"Sussex Spaniel","dog","female",42,
"Swedish Vallhund","dog",,30,
"Swedish Vallhund","dog","male",30,
"Swedish Vallhund","dog","female",30,
"Thai Ridgeback","dog",,63,
"Thai Ridgeback","dog","male",63,
"Thai Ridgeback","dog","female",63,
"Tibetan Mastiff","dog",,155,
"Tibetan Mastiff","dog","male",155,
"Tibetan Mastiff","dog","female",155,
"Tibetan Spaniel","dog",,12,
"Tibetan Spaniel","dog","male",12,
"Tibetan Spaniel","dog","female",12,
"Tibetan Terrier","dog",,24,
"Tibetan Terrier","dog","male",24,
"Tibetan Terrier","dog","female",24,
"Tosa Inu","dog",,130,
"Tosa Inu","dog","male",145,
"Tosa Inu","dog","female",115,
"Treeing Tennessee Brindle","dog",,40,
"Treeing Tennessee Brindle","dog","male",40,
"Treeing Tennessee Brindle","dog","female",40,
"Treeing Walker Coonhound","dog",,60,
"Treeing Walker Coonhound","dog","male",60,
"Treeing Walker Coonhound","dog","female",60,
"Vizsla","dog",,55,
"Vizsla","dog","male",55,
"Vizsla","dog","female",55,
"Weimaraner","dog",,77.5,
"Weimaraner","dog","male",77.5,
"Weimaraner","dog","female",77.5,
"Weimardoodle","dog",,57.5,
"Weimardoodle","dog","male",57.5,
"Weimardoodle","dog","female",57.5,
"Welsh Corgi, Cardigan","dog",,31.75,
"Welsh Corgi, Cardigan","dog","male",34,
"Welsh Corgi, Cardigan","dog","female",29.5,
"Welsh Corgi, Pembroke","dog",,26,
"Welsh Corgi, Pembroke","dog","male",27,
"Welsh Corgi, Pembroke","dog","female",25,
"Welsh Springer Spaniel","dog",,40,
"Welsh Springer Spaniel","dog","male",40,
"Welsh Springer Spaniel","dog","female",40,
"Welsh Terrier","dog",,35,
"Welsh Terrier","dog","male",37.5,
"Welsh Terrier","dog","female",32.5,
"West Highland White Terrier - Westie","dog",,18,
"West Highland White Terrier - Westie","dog","male",18,
"West Highland White Terrier - Westie","dog","female",18,
"Westiepoo","dog",,25,
"Westiepoo","dog","male",25,
"Westiepoo","dog","female",25,
"Whippet","dog",,30,
"Whippet","dog","male",30,
"Whippet","dog","female",30,
"Whoodles","dog",,30,
"Whoodles","dog","male",30,
"Whoodles","dog","female",30,
"Wirehaired Pointing Griffon","dog",,55,
"Wirehaired Pointing Griffon","dog","male",55,
"Wirehaired Pointing Griffon","dog","female",55,
"Wolf Hybrid","dog",,100,
"Wolf Hybrid","dog","male",100,
"Wolf Hybrid","dog","female",100,
"Xoloitzcuintli","dog",,22.5,
"Xoloitzcuintli","dog","male",22.5,
"Xoloitzcuintli","dog","female",22.5,
"Yorkshire Terrier","dog",,7,
"Yorkshire Terrier","dog","male",7,
"Yorkshire Terrier","dog","female",7,
