"name","species","gender","weight","(in lbs)"
"Black Mouth Cur","dog",,67.5,
"Black Mouth Cur","dog","male",75,
"Black Mouth Cur","dog","female",60,
"Black Russian Terrier","dog",,117.5,
"Black Russian Terrier","dog","male",135,
"Black Russian Terrier","dog","female",100,
"Bloodhound","dog",,95,
"Bloodhound","dog","male",100,
"Bloodhound","dog","female",90,
"Bluetick Coonhound","dog",,62.5,
"Bluetick Coonhound","dog","male",62.5,
"Bluetick Coonhound","dog","female",62.5,
"Bolognese","dog",,6.75,
"Bolognese","dog","male",6.75,
"Bolognese","dog","female",6.75,
"Border Collie","dog",,37.5,
"Border Collie","dog","male",37.5,
"Border Collie","dog","female",37.5,
"Border Terrier","dog",,13.5,
"Border Terrier","dog","male",14.25,
"Border Terrier","dog","female",12.75,
"Borzoi","dog",,81.25,
"Borzoi","dog","male",90,
"Borzoi","dog","female",72.5,
"Boston Terrier","dog",,17.5,
"Boston Terrier","dog","male",17.5,
"Boston Terrier","dog","female",17.5,
"Bouvier Des Flandres","dog",,79.5,
"Bouvier Des Flandres","dog","male",79.5,
"Bouvier Des Flandres","dog","female",79.5,
"Boxer","dog",,65,
"Boxer","dog","male",72.5,
"Boxer","dog","female",57.5,
"BoxerDoodle","dog",,41,
"BoxerDoodle","dog","male",41,
"BoxerDoodle","dog","female",41,
"Boykin Spaniel","dog",,32.5,
"Boykin Spaniel","dog","male",35,
"Boykin Spaniel","dog","female",30,
"Bracco Italiano","dog",,71.5,
"Bracco Italiano","dog","male",71.5,
"Bracco Italiano","dog","female",71.5,
"Briard","dog",,87.5,
"Briard","dog","male",87.5,
"Briard","dog","female",87.5,
"Briquet Griffon Vendéen","dog",,42.5,
"Briquet Griffon Vendéen","dog","male",42.5,
"Briquet Griffon Vendéen","dog","female",42.5,
"Brittany Spaniel","dog",,35,
"Brittany Spaniel","dog","male",35,
"Brittany Spaniel","dog","female",35,
"Brussels Griffon","dog",,9,
"Brussels Griffon","dog","male",9,
"Brussels Griffon","dog","female",9,
"Bull Mastiff","dog",,115,
"Bull Mastiff","dog","male",120,
"Bull Mastiff","dog","female",110,
"Bull Terrier","dog",,55,
"Bull Terrier","dog","male",60,
"Bull Terrier","dog","female",50,
"Bulldog","dog",,45,
"Bulldog","dog","male",50,
"Bulldog","dog","female",40,
"Cairn Terrier","dog",,13.5,
"Cairn Terrier","dog","male",14,
"Cairn Terrier","dog","female",13,
"Cairnoodle","dog",,17.5,
"Cairnoodle","dog","male",17.5,
"Cairnoodle","dog","female",17.5,
"Canaan Dog","dog",,45,
"Canaan Dog","dog","male",50,
"Canaan Dog","dog","female",40,
"Cane Corso Mastiff","dog",,110,
"Cane Corso Mastiff","dog","male",110,
"Cane Corso Mastiff","dog","female",110,
"Cao De Castro Laboreiro","dog",,66,
"Cao De Castro Laboreiro","dog","male",77,
"Cao De Castro Laboreiro","dog","female",55,
"Carolina Dog","dog",,37,
"Carolina Dog","dog","male",37,
"Carolina Dog","dog","female",37,
"Catahoula Leopard Dog","dog",,67.5,
"Catahoula Leopard Dog","dog","male",75,
"Catahoula Leopard Dog","dog","female",60,
"Caucasian Mountain Dog","dog",,125,
"Caucasian Mountain Dog","dog","male",125,
"Caucasian Mountain Dog","dog","female",125,
"Cavachon","dog",,15,
"Cavachon","dog","male",15,
"Cavachon","dog","female",15,
"Cavalier King Charles Spaniel","dog",,14,
"Cavalier King Charles Spaniel","dog","male",14,
"Cavalier King Charles Spaniel","dog","female",14,
"Cavapoo","dog",,13,
"Cavapoo","dog","male",13,
"Cavapoo","dog","female",13,
"Central Asian Ovtcharka","dog",,132,
"Central Asian Ovtcharka","dog","male",148.5,
"Central Asian Ovtcharka","dog","female",115.5,
"Cesky Terrier","dog",,16.75,
"Cesky Terrier","dog","male",18,
"Cesky Terrier","dog","female",15.5,
"Chesapeake Bay Retriever","dog",,67.5,
"Chesapeake Bay Retriever","dog","male",72.5,
"Chesapeake Bay Retriever","dog","female",62.5,
"Chihauha","dog",,6,
"Chihauha","dog","male",6,
"Chihauha","dog","female",6,
"Chinese Chongqing Dog","dog",,43.75,
"Chinese Chongqing Dog","dog","male",49,
"Chinese Chongqing Dog","dog","female",38.5,
"Chinese Crested","dog",,8.5,
"Chinese Crested","dog","male",8.5,
"Chinese Crested","dog","female",8.5,
"Chinese Foo Dog","dog",,30.5,
"Chinese Foo Dog","dog","male",30.5,
"Chinese Foo Dog","dog","female",30.5,
"Chinese Shar-Pei","dog",,52.5,
"Chinese Shar-Pei","dog","male",52.5,
"Chinese Shar-Pei","dog","female",52.5,
"Chinook","dog",,62.5,
"Chinook","dog","male",70,
"Chinook","dog","female",55,
"ChiPoo","dog",,7.5,
"ChiPoo","dog","male",7.5,
"ChiPoo","dog","female",7.5,
"Chow Chow","dog",,57.5,
"Chow Chow","dog","male",57.5,
"Chow Chow","dog","female",57.5,
"Cirneco Dell Etna","dog",,25,
"Cirneco Dell Etna","dog","male",28,
"Cirneco Dell Etna","dog","female",22,
"Clumber Spaniel","dog",,70,
"Clumber Spaniel","dog","male",77.5,
"Clumber Spaniel","dog","female",62.5,
"Cockapoo","dog",,12.5,
"Cockapoo","dog","male",12.5,
"Cockapoo","dog","female",12.5,
"Cocker Spaniel","dog",,20,
"Cocker Spaniel","dog","male",26,
"Cocker Spaniel","dog","female",14,
"Collie","dog",,62.5,
"Collie","dog","male",67.5,
"Collie","dog","female",57.5,
"Corgi","dog",,26.75,
"Corgi","dog","male",27.5,
"Corgi","dog","female",26,
"Coton De Tulear","dog",,13.5,
"Coton De Tulear","dog","male",13.5,
"Coton De Tulear","dog","female",13.5,
"Curly Coated Retriever","dog",,85,
"Curly Coated Retriever","dog","male",90,
"Curly Coated Retriever","dog","female",80,
"Czechloslovakian Wolf Dog","dog",,49,
"Czechloslovakian Wolf Dog","dog","male",54,
"Czechloslovakian Wolf Dog","dog","female",44,
"Dachhund, Mini","dog",,9.5,
"Dachhund, Mini","dog","male",9.5,
"Dachhund, Mini","dog","female",9.5,
"Dachshund","dog",,21.5,
"Dachshund","dog","male",21.5,
"Dachshund","dog","female",21.5,
"Dalmation","dog",,50,
"Dalmation","dog","male",50,
"Dalmation","dog","female",50,
"Dandi Dinmont Terrier","dog",,21,
"Dandi Dinmont Terrier","dog","male",21,
"Dandi Dinmont Terrier","dog","female",21,
"Doberman Pinscher","dog",,77.5,
"Doberman Pinscher","dog","male",77.5,
"Doberman Pinscher","dog","female",77.5,
"Dogo Argentino","dog",,90,
"Dogo Argentino","dog","male",95,
"Dogo Argentino","dog","female",85,
"Dogue De Bordeaux","dog",,132.5,
"Dogue De Bordeaux","dog","male",132.5,
"Dogue De Bordeaux","dog","female",132.5,
"Doodleman Pinscher","dog",,77,
"Doodleman Pinscher","dog","male",77,
"Doodleman Pinscher","dog","female",77,
"Dutch Shepherd","dog",,61,
"Dutch Shepherd","dog","male",61,
"Dutch Shepherd","dog","female",61,
"English Boodle","dog",,35,
"English Boodle","dog","male",35,
"English Boodle","dog","female",35,
"English Bulldog","dog",,52.5,
"English Bulldog","dog","male",52.5,
"English Bulldog","dog","female",52.5,
"English Cocker Spaniel","dog",,30,
"English Cocker Spaniel","dog","male",31,
"English Cocker Spaniel","dog","female",29,
"English Coonhound","dog",,52.5,
"English Coonhound","dog","male",52.5,
"English Coonhound","dog","female",52.5,
"English Pointer","dog",,59.75,
"English Pointer","dog","male",65,
"English Pointer","dog","female",54.5,
"English Setter","dog",,57.5,
"English Setter","dog","male",62.5,
"English Setter","dog","female",52.5,
"English Shepherd","dog",,51.25,
"English Shepherd","dog","male",57.5,
"English Shepherd","dog","female",45,
"English Springer Spaniel","dog",,45,
"English Springer Spaniel","dog","male",50,
"English Springer Spaniel","dog","female",40,
"English Toy Spaniel","dog",,11,
